user_id,referrer_type,days_since_purch
696124,search,64
1964872,Misc,62
3739492,obsessions,6
1854922,saved_search,15
9217454,saved_search,46
6963082,obsessions,53
9028424,flash_sale,84
2118404,feeds,71
1492512,search,56
3683878,Misc,68
7673668,saved_search,50
421962,flash_sale,92
7803000,saved_search,15
8567132,obsessions,100
9310480,search,22
995048,obsessions,47
505618,obsessions,99
8169220,obsessions,92
5261096,search,43
1693632,flash_sale,1
2487402,flash_sale,38
5409260,obsessions,75
9005792,ymal,92
9108186,browse_search,31
2675856,obsessions,100
9087826,search,71
1660014,flash_sale,14
8990438,search,96
104066,obsessions,88
9256000,ymal,34
9401460,shop_browse_categories,8
6069074,obsessions,49
9224962,saved_search,19
7376242,obsessions,101
4116780,obsessions,17
9324980,saved_search,23
8869858,obsessions,11
8002056,search,48
5102494,obsessions,51
3946212,search,97
8655440,obsessions,6
8671896,browse_search,5
8729926,browse_search,43
6275972,obsessions,98
7944516,search,64
8369284,obsessions,65
8340908,obsessions,60
1784602,obsessions,98
8583892,obsessions,75
1232654,obsessions,24
8616440,search,85
7178386,obsessions,86
8845670,obsessions,100
8586350,obsessions,62
1314602,obsessions,34
771988,obsessions,70
3286108,obsessions,93
1463652,search,44
9089062,saved_search,60
8972668,saved_search,53
7911394,obsessions,84
8995798,flash_sale,95
6512528,obsessions,93
7192346,browse_search,83
8994760,search,94
343032,obsessions,77
4111250,browse_search,22
8172030,saved_search,4
7821376,Misc,23
8243856,Misc,1
6208588,obsessions,53
2000234,obsessions,64
8390440,search,98
706740,search,37
8526394,search,96
6980994,browse_search,3
